HighEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0.03
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,RecentAvgEntropy,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
112000,3584000,0.338762,0.342578,3.4469,11.5846,0.936963,7.78303,7.73596,3.7125,0.42844,0.457607,0.696373,
114000,3648000,0.338783,0.339969,3.44337,11.6227,0.566302,7.80144,7.75509,3.75262,0.240955,0.269748,0.435746,
116000,3712000,0.338856,0.343,3.44176,11.6628,0.409465,7.8213,7.77533,3.79369,0.175522,0.213497,0.302113,
118000,3776000,0.339,0.347359,3.43607,11.7101,0.438486,7.84423,7.79887,3.84351,0.213887,0.234483,0.302555,
120000,3840000,0.339155,0.348297,3.42995,11.7544,0.609256,7.86568,7.82083,3.89008,0.290712,0.299048,0.444129,
122000,3904000,0.339293,0.347594,3.42942,11.803,0.354693,7.8896,7.84496,3.93972,0.215252,0.179513,0.217368,
124000,3968000,0.339562,0.355984,3.42661,11.8586,1.04476,7.91683,7.87274,3.99623,0.530955,0.529932,0.727181,
126000,4032000,0.339749,0.351328,3.41176,11.928,0.359491,7.9512,7.90738,4.06548,0.208707,0.167188,0.240257,
128000,4096000,0.339982,0.354688,3.39722,12.0023,0.829722,7.98809,7.94442,4.13904,0.393677,0.390969,0.616928,
130000,4160000,0.340285,0.359656,3.38871,12.0791,0.501795,8.02638,7.98275,4.21399,0.334907,0.230265,0.294301,
132000,4224000,0.34069,0.367031,3.35912,12.1897,0.572862,8.08129,8.03831,4.32065,0.244603,0.250501,0.45342,
134000,4288000,0.341096,0.367891,3.30593,12.3173,1.17452,8.14488,8.10227,4.44194,0.568521,0.567679,0.856757,
136000,4352000,0.341582,0.374109,3.20502,12.4429,0.810087,8.20822,8.16479,4.55936,0.456165,0.353482,0.568511,
138000,4416000,0.342129,0.379312,3.14488,12.5815,0.609489,8.27801,8.23401,4.68711,0.388376,0.227609,0.410895,
