MedEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0.01
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,RecentAvgEntropy,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
168000,5376000,0.366908,0.539969,0.786545,15.7807,1.92091,9.94146,9.86618,7.27022,1.22793,0.858278,1.20228,
170000,5440000,0.368996,0.544391,0.707465,15.9146,0.926459,10.0152,9.93345,7.36858,0.619165,0.384952,0.571641,
172000,5504000,0.371125,0.552094,0.641019,16.0583,0.618175,10.0932,10.0066,7.47411,0.399089,0.256473,0.396345,
174000,5568000,0.373223,0.553609,0.581833,16.1847,2.40767,10.1629,10.0709,7.56559,1.77971,1.08863,1.20184,
176000,5632000,0.375241,0.550859,0.544019,16.2862,0.714184,10.2186,10.1219,7.6398,0.49287,0.301079,0.420107,
178000,5696000,0.377275,0.55625,0.508795,16.3921,0.409784,10.2773,10.1755,7.71605,0.32462,0.149435,0.200533,
180000,5760000,0.379288,0.558484,0.460985,16.4569,0.933281,10.3138,10.2071,7.76326,0.697058,0.279212,0.554225,
182000,5824000,0.381312,0.563438,0.485,16.5413,0.931145,10.3618,10.2488,7.8238,0.642547,0.389487,0.549967,
184000,5888000,0.383215,0.556391,0.470011,16.6207,2.1008,10.4063,10.2882,7.88111,1.58174,0.667682,1.21064,
186000,5952000,0.385191,0.566953,0.422198,16.6878,0.594721,10.4439,10.3212,7.92975,0.438266,0.195188,0.35145,
188000,6016000,0.387092,0.563953,0.458148,16.7707,0.519653,10.49,10.3629,7.98916,0.348376,0.212415,0.321797,
190000,6080000,0.389003,0.568609,0.391096,16.8644,0.536174,10.5423,10.4107,8.05511,0.419566,0.204148,0.264142,
192000,6144000,0.390828,0.564156,0.352027,16.9353,0.829911,10.583,10.4455,8.10522,0.563036,0.284609,0.539203,
194000,6208000,0.392619,0.564625,0.332756,17.0146,0.533507,10.6274,10.4859,8.1609,0.365082,0.154602,0.356991,
196000,6272000,0.394423,0.569375,0.334905,17.0725,0.579731,10.6605,10.5146,8.20178,0.396477,0.207565,0.368526,
198000,6336000,0.396182,0.568563,0.309879,17.1331,0.529775,10.6951,10.5442,8.24471,0.36889,0.221117,0.309336,
200000,6400000,0.397918,0.56975,0.273249,17.1805,0.330209,10.7225,10.5674,8.27816,0.240752,0.116319,0.193768,
202000,6464000,0.399578,0.565641,0.225438,17.239,0.162967,10.7551,10.5975,8.31899,0.106042,0.0551774,0.110765,
204000,6528000,0.401262,0.571344,0.249251,17.2668,0.412371,10.7727,10.6096,8.33833,0.28928,0.182642,0.230237,
206000,6592000,0.402819,0.561578,0.28006,17.3251,2.68471,10.8058,10.6388,8.37914,1.77542,0.98045,1.75905,
208000,6656000,0.404431,0.570516,0.258764,17.3712,0.317134,10.8333,10.6612,8.41068,0.231986,0.119277,0.180359,
210000,6720000,0.405981,0.567172,0.215353,17.4123,0.70115,10.857,10.6818,8.43874,0.41202,0.262354,0.503013,
212000,6784000,0.407515,0.568609,0.212733,17.4585,0.495224,10.8837,10.7048,8.4706,0.323205,0.193081,0.321722,
214000,6848000,0.40905,0.571688,0.210709,17.4935,0.215211,10.9046,10.7216,8.49464,0.182912,0.0710812,0.0883543,
216000,6912000,0.410482,0.563766,0.224452,17.5361,0.714891,10.93,10.7422,8.52382,0.511327,0.267793,0.421783,
218000,6976000,0.411944,0.569859,0.217126,17.5807,0.334603,10.9559,10.7642,8.55456,0.28141,0.102671,0.149085,
220000,7040000,0.413426,0.574906,0.193702,17.6149,0.340721,10.9763,10.7808,8.57785,0.242253,0.123681,0.2052,
222000,7104000,0.414823,0.568563,0.181506,17.6473,0.415864,10.9952,10.7967,8.60023,0.333626,0.12864,0.21234,
224000,7168000,0.416208,0.569938,0.205666,17.6673,0.312616,11.008,10.8056,8.61371,0.248703,0.131807,0.136022,
226000,7232000,0.417585,0.57175,0.20518,17.6937,0.337961,11.024,10.8176,8.63232,0.251794,0.116608,0.192925,
228000,7296000,0.418951,0.573266,0.156215,17.7259,0.873244,11.0425,10.834,8.65428,0.627107,0.286431,0.535957,
230000,7360000,0.42026,0.569531,0.156443,17.7492,2.88617,11.0562,10.8453,8.67022,2.22034,1.10513,1.47606,
232000,7424000,0.421516,0.565953,0.160715,17.7755,0.147165,11.0716,10.8584,8.68817,0.101556,0.0561989,0.0904743,
234000,7488000,0.422841,0.576609,0.148478,17.8013,0.0813382,11.0875,10.8709,8.705,0.0612112,0.0302183,0.0442261,
236000,7552000,0.424153,0.577641,0.168142,17.8298,1.19851,11.1047,10.8846,8.72428,1.0674,0.346236,0.420972,
238000,7616000,0.425378,0.569859,0.171863,17.8709,0.408869,11.128,10.9056,8.75241,0.339935,0.11968,0.193119,
240000,7680000,0.426577,0.569313,0.166983,17.8977,0.0795548,11.1442,10.9183,8.77065,0.0599506,0.0281401,0.0440798,
242000,7744000,0.427792,0.573516,0.151314,17.9145,0.730315,11.1545,10.9262,8.78203,0.556047,0.223916,0.417174,
244000,7808000,0.428965,0.570938,0.175445,17.9451,0.338039,11.1734,10.9405,8.8026,0.256436,0.127012,0.179942,
246000,7872000,0.430175,0.577781,0.191556,17.9669,0.613764,11.1873,10.9502,8.81742,0.416906,0.178184,0.413698,
248000,7936000,0.431311,0.571078,0.188696,17.9959,1.73201,11.2051,10.9636,8.83721,1.26835,0.627,0.999017,
250000,8000000,0.43248,0.577453,0.233927,18.0225,0.413359,11.2213,10.9754,8.85622,0.304871,0.184633,0.209355,
252000,8064000,0.433635,0.577969,0.214025,18.0525,0.308741,11.2397,10.9892,8.87692,0.244474,0.0991372,0.16039,
254000,8128000,0.434724,0.571938,0.224123,18.0836,0.324137,11.2582,11.004,8.89843,0.30928,0.0698634,0.0673016,
256000,8192000,0.435824,0.575578,0.196409,18.1155,0.294383,11.2771,11.0194,8.92029,0.195312,0.118344,0.185767,
258000,8256000,0.43693,0.578422,0.186164,18.1498,1.28012,11.2971,11.0364,8.94354,0.847888,0.483777,0.828095,
260000,8320000,0.437981,0.573547,0.223007,18.167,1.20976,11.3086,11.0435,8.95524,0.881413,0.354178,0.749125,
262000,8384000,0.439066,0.580109,0.206987,18.2035,4.83829,11.3305,11.0611,8.9801,3.26754,1.82357,3.06704,
264000,8448000,0.440107,0.576484,0.172807,18.2389,1.60411,11.3511,11.0787,9.00396,1.0669,0.590446,1.04224,
266000,8512000,0.441167,0.581156,0.179155,18.2611,1.42727,11.3649,11.0887,9.01923,0.895543,0.614234,0.926183,
268000,8576000,0.442238,0.584656,0.190306,18.2936,1.09334,11.3841,11.1044,9.04149,0.765322,0.432442,0.650137,
270000,8640000,0.443225,0.575531,0.16801,18.3272,1.51074,11.4037,11.1211,9.0644,1.1492,0.542208,0.817108,
272000,8704000,0.444215,0.577812,0.179679,18.3529,1.06285,11.4194,11.1331,9.08172,0.848554,0.373882,0.519442,
274000,8768000,0.445206,0.580047,0.1547,18.3791,0.20962,11.4349,11.1458,9.09974,0.156156,0.0825171,0.112903,
276000,8832000,0.446138,0.573766,0.154724,18.4013,1.35063,11.449,11.156,9.11449,0.989308,0.508203,0.766289,
278000,8896000,0.447084,0.577656,0.182538,18.4255,0.632735,11.464,11.1671,9.1307,0.443831,0.211513,0.398284,
280000,8960000,0.447984,0.573047,0.18099,18.4494,0.260643,11.4784,11.1785,9.14697,0.218418,0.0765099,0.119896,
282000,9024000,0.448885,0.574984,0.176062,18.4688,0.418804,11.4904,11.1871,9.16062,0.253217,0.161574,0.291841,
