NoEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,RecentAvgEntropy,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
108000,3456000,0.340178,0.364344,2.51743,11.9621,0.862019,7.91185,7.93771,4.18179,0.669551,0.371879,0.395581,
110000,3520000,0.340688,0.36825,2.61491,12.0674,0.635285,7.96721,7.98959,4.27922,0.524332,0.228987,0.276094,
112000,3584000,0.341301,0.375016,2.51919,12.1775,0.98871,8.02485,8.04374,4.38089,0.813197,0.425514,0.367691,
114000,3648000,0.342059,0.3845,2.33058,12.2909,0.837842,8.0852,8.09938,4.48276,0.607756,0.408381,0.40723,
116000,3712000,0.342718,0.380313,2.36556,12.4065,1.22568,8.14643,8.15641,4.58589,0.549015,0.470544,0.989682,
118000,3776000,0.343584,0.393781,2.36197,12.5412,0.597742,8.21718,8.22303,4.70551,0.473406,0.243136,0.272153,
120000,3840000,0.344482,0.397469,2.23603,12.6575,0.619739,8.28026,8.27985,4.80547,0.484092,0.282215,0.264737,
122000,3904000,0.345343,0.397,2.07845,12.8097,0.560912,8.35958,8.35538,4.93901,0.380091,0.229959,0.34245,
124000,3968000,0.346573,0.421609,1.70085,12.9768,1.22811,8.44789,8.43831,5.08181,0.924491,0.532142,0.6086,
126000,4032000,0.347877,0.42875,1.34002,13.1375,0.942796,8.53373,8.51785,5.21689,0.649129,0.435266,0.527294,
128000,4096000,0.349158,0.429828,1.05245,13.2637,3.67727,8.60423,8.57933,5.3186,3.00102,1.42683,1.57491,
130000,4160000,0.350335,0.425687,0.843236,13.3789,1.44318,8.67024,8.63484,5.40942,1.19324,0.565228,0.582642,
132000,4224000,0.351616,0.434875,0.792988,13.456,1.87498,8.71747,8.6704,5.46742,1.44379,0.925075,0.758456,
