VeryHighEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0.1
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,RecentAvgEntropy,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
116000,3712000,0.339913,0.340578,3.45791,11.5418,0.408207,7.71934,7.74206,3.69927,0.168545,0.203122,0.311395,
118000,3776000,0.33999,0.344453,3.45711,11.5712,0.191486,7.73358,7.75668,3.73063,0.0831188,0.0974523,0.142342,
120000,3840000,0.340072,0.344938,3.45522,11.6009,0.430339,7.74809,7.77136,3.76215,0.193685,0.223958,0.312282,
122000,3904000,0.340164,0.345641,3.4522,11.6329,0.267484,7.76352,7.78736,3.79593,0.142555,0.14839,0.170898,
124000,3968000,0.340457,0.358359,3.45199,11.6643,0.46403,7.77898,7.80281,3.82863,0.262077,0.245064,0.29425,
126000,4032000,0.3406,0.349453,3.45096,11.7033,0.280795,7.79779,7.82216,3.86971,0.13483,0.136048,0.205323,
128000,4096000,0.340726,0.348687,3.44914,11.7461,1.99329,7.81902,7.84348,3.91317,0.78924,1.02125,1.519,
130000,4160000,0.340877,0.350547,3.44729,11.7948,0.430212,7.84305,7.86794,3.96214,0.263048,0.219379,0.260308,
132000,4224000,0.341006,0.349375,3.4444,11.8436,0.535573,7.86725,7.89236,4.01107,0.255342,0.258194,0.393668,
134000,4288000,0.341076,0.345672,3.44031,11.9042,0.619584,7.89724,7.92258,4.07144,0.302416,0.316481,0.438485,
136000,4352000,0.341195,0.349172,3.43365,11.9684,0.4956,7.92901,7.95461,4.13492,0.269684,0.25787,0.326179,
138000,4416000,0.341406,0.35575,3.42909,12.032,0.809137,7.96072,7.98636,4.19697,0.443066,0.423255,0.528442,
140000,4480000,0.341681,0.360672,3.42333,12.1033,0.470048,7.99637,8.02197,4.26572,0.274287,0.245089,0.292648,
142000,4544000,0.341927,0.359172,3.41302,12.1785,0.373538,8.03387,8.0596,4.33756,0.214982,0.183587,0.244149,
144000,4608000,0.342233,0.363906,3.4045,12.2576,0.357646,8.07349,8.0989,4.4131,0.208876,0.18366,0.224834,
146000,4672000,0.342604,0.369344,3.39805,12.3313,0.727196,8.11063,8.13555,4.48228,0.401457,0.361729,0.48662,
148000,4736000,0.342998,0.37175,3.38164,12.4327,0.499702,8.16193,8.18647,4.57555,0.293334,0.240202,0.325516,
150000,4800000,0.343437,0.375906,3.36476,12.5388,0.74052,8.21563,8.23945,4.67304,0.400258,0.345092,0.518724,
152000,4864000,0.343883,0.377375,3.34659,12.6419,0.63921,8.26818,8.29085,4.7661,0.35831,0.291881,0.441597,
154000,4928000,0.344408,0.384297,3.32235,12.7738,0.81616,8.33512,8.35732,4.88366,0.436925,0.35954,0.588171,
156000,4992000,0.344993,0.390047,3.28555,12.8964,1.56631,8.39788,8.41861,4.99201,0.921321,0.772581,1.00381,
158000,5056000,0.345713,0.401859,3.25869,13.0093,0.794416,8.4561,8.475,5.09025,0.415915,0.372639,0.565023,
160000,5120000,0.346418,0.402078,3.23988,13.1355,0.702088,8.52105,8.53846,5.19888,0.452868,0.324421,0.427304,
162000,5184000,0.347257,0.414406,3.20255,13.2606,1.13203,8.58589,8.60103,5.30553,0.669997,0.459043,0.788584,
164000,5248000,0.348128,0.418687,3.17249,13.3897,1.4455,8.65264,8.66579,5.4147,0.736028,0.664954,1.05146,
166000,5312000,0.348983,0.419062,3.13205,13.5311,0.773917,8.72601,8.73689,5.53305,0.484782,0.337708,0.499888,
168000,5376000,0.349933,0.428828,3.09348,13.6368,1.00122,8.7815,8.78942,5.62092,0.656956,0.52481,0.543531,
170000,5440000,0.35086,0.428703,3.07935,13.7624,2.11061,8.847,8.8524,5.72447,1.44622,1.05994,1.11339,
172000,5504000,0.351914,0.441469,3.02841,13.8926,0.954795,8.91539,8.91764,5.83055,0.592222,0.418743,0.620935,
174000,5568000,0.352971,0.443891,3.0084,13.9761,0.959067,8.95988,8.95867,5.89859,0.536567,0.360139,0.708665,
176000,5632000,0.354065,0.44925,2.95725,14.1021,1.01634,9.02621,9.02193,6.0001,0.671277,0.443474,0.621022,
178000,5696000,0.355267,0.461016,2.90963,14.2198,1.21959,9.0884,9.08061,6.09477,0.782524,0.548577,0.75771,
180000,5760000,0.356441,0.460984,2.86712,14.3293,1.39525,9.14631,9.13526,6.18227,0.819369,0.583175,0.967085,
182000,5824000,0.357696,0.470625,2.83951,14.4217,1.35548,9.19554,9.1806,6.25661,0.841165,0.62409,0.860399,
184000,5888000,0.358961,0.474047,2.80414,14.5148,2.08933,9.24507,9.22631,6.33117,1.41526,0.957667,1.20218,
186000,5952000,0.360194,0.473703,2.76633,14.5727,0.9582,9.27675,9.25354,6.37784,0.58567,0.379545,0.656569,
188000,6016000,0.361492,0.482172,2.76105,14.654,0.999687,9.32059,9.29313,6.44234,0.596007,0.38693,0.703162,
190000,6080000,0.362737,0.479719,2.71764,14.722,1.90681,9.35727,9.32602,6.4965,1.19969,0.749573,1.2786,
192000,6144000,0.364042,0.488078,2.70365,14.7988,0.819308,9.3987,9.3631,6.55758,0.467775,0.301462,0.601309,
194000,6208000,0.365364,0.492219,2.67991,14.8508,1.49918,9.42757,9.38695,6.59947,1.05156,0.675487,0.827949,
