LowEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0.004
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,RecentAvgEntropy,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
134000,4288000,0.344398,0.404984,1.76893,12.7434,2.84326,8.30316,8.34776,4.87523,2.55484,1.02705,0.708575,
136000,4352000,0.345423,0.414109,1.61098,12.8721,2.22046,8.37144,8.41102,4.98652,1.47823,0.971814,1.34196,
138000,4416000,0.346463,0.417203,1.35511,13.0143,0.716773,8.44718,8.48144,5.10715,0.444584,0.339924,0.447839,
140000,4480000,0.34758,0.424641,1.08965,13.1544,0.758364,8.52292,8.55082,5.22326,0.643298,0.284009,0.28394,
142000,4544000,0.348776,0.432469,0.937263,13.2727,1.09211,8.58909,8.60865,5.31828,0.84873,0.437248,0.53026,
144000,4608000,0.349989,0.436125,0.847808,13.3695,1.05914,8.64499,8.65555,5.39331,0.984778,0.302187,0.246329,
146000,4672000,0.351301,0.445766,0.872897,13.4328,2.3051,8.68472,8.68495,5.43932,1.98063,0.926936,0.728982,
148000,4736000,0.352528,0.442109,0.847112,13.5206,0.887002,8.73622,8.72738,5.50619,0.787435,0.334764,0.233777,
150000,4800000,0.35373,0.442672,0.851923,13.5525,0.815092,8.76166,8.73996,5.52426,0.581543,0.373511,0.432056,
152000,4864000,0.354932,0.445094,1.16489,13.6107,0.768949,8.79875,8.76704,5.56522,0.622101,0.288751,0.347701,
154000,4928000,0.356144,0.448281,1.2023,13.7142,0.450351,8.85818,8.81749,5.64481,0.386961,0.155272,0.170199,
156000,4992000,0.35737,0.451734,1.25937,13.8071,0.675556,8.91215,8.8626,5.71518,0.495997,0.281441,0.362152,
158000,5056000,0.358621,0.456219,1.18379,13.9196,1.27129,8.97588,8.91719,5.80284,1.05365,0.478937,0.525949,
160000,5120000,0.359871,0.458641,1.1244,14.0452,3.38177,9.0451,8.97954,5.90101,2.77611,1.41124,1.31834,
162000,5184000,0.361166,0.46475,1.05143,14.1826,2.01181,9.12164,9.04772,6.00663,1.7886,0.710545,0.586009,
164000,5248000,0.362408,0.463031,0.995615,14.3169,0.730305,9.19607,9.1147,6.1096,0.50486,0.314782,0.423526,
166000,5312000,0.363814,0.479062,0.946846,14.4429,2.078,9.26745,9.17694,6.20445,1.41407,0.983292,1.1626,
168000,5376000,0.365192,0.479547,0.923122,14.5792,1.59117,9.34393,9.24449,6.30746,1.03563,0.629297,1.03115,
170000,5440000,0.366469,0.473812,0.930981,14.7182,0.873928,9.42104,9.31389,6.41247,0.692569,0.347072,0.404525,
172000,5504000,0.367922,0.491359,0.847911,14.8843,0.775682,9.51293,9.39764,6.5369,0.57559,0.336823,0.396141,
174000,5568000,0.369286,0.486656,0.705731,15.0121,1.32892,9.5844,9.46177,6.63155,0.862958,0.555476,0.844256,
176000,5632000,0.370715,0.495,0.656623,15.1338,1.38097,9.65491,9.52198,6.71922,0.973521,0.539166,0.817702,
178000,5696000,0.37214,0.497547,0.594185,15.2471,0.632632,9.71996,9.5784,6.8007,0.377876,0.287357,0.418162,
180000,5760000,0.373509,0.495375,0.64155,15.3374,0.983189,9.77414,9.62203,6.86438,0.770711,0.396625,0.464062,
182000,5824000,0.374858,0.49625,0.644254,15.427,2.91899,9.82766,9.66552,6.92736,2.18088,1.32217,1.41991,
184000,5888000,0.376252,0.503109,0.580003,15.5039,0.864166,9.8756,9.70158,6.98012,0.594921,0.335376,0.529503,
186000,5952000,0.377654,0.506578,0.468916,15.5799,1.83623,9.92057,9.73895,7.03329,1.36059,0.818347,0.922413,
188000,6016000,0.379008,0.504953,0.425364,15.6465,0.67848,9.96277,9.77047,7.07779,0.550967,0.266701,0.292645,
190000,6080000,0.38035,0.5065,0.453448,15.7152,2.019,10.0051,9.80323,7.12473,1.48909,0.830887,1.08102,
192000,6144000,0.381716,0.511469,0.433526,15.7704,0.838517,10.0395,9.82965,7.1618,0.677746,0.296305,0.394935,
194000,6208000,0.383002,0.506469,0.418251,15.8303,0.912794,10.0784,9.85724,7.20121,0.782001,0.282025,0.376999,
196000,6272000,0.384245,0.504828,0.409749,15.9021,2.97082,10.1206,9.89311,7.25102,2.36459,1.28825,1.25495,
198000,6336000,0.385473,0.505859,0.398411,15.9517,1.04156,10.1521,9.91617,7.28428,0.738172,0.480517,0.555917,
200000,6400000,0.38672,0.510109,0.374279,16.0072,1.23993,10.1881,9.94216,7.32032,0.95001,0.525145,0.599283,
202000,6464000,0.387957,0.511734,0.37883,16.0716,0.7073,10.2276,9.97332,7.36374,0.582696,0.280654,0.286308,
204000,6528000,0.38919,0.513672,0.352954,16.1348,0.714785,10.267,10.0035,7.40599,0.622293,0.260081,0.236702,
206000,6592000,0.39037,0.510766,0.376448,16.1704,1.52597,10.2919,10.0194,7.42769,1.14922,0.639301,0.774069,
