Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.002

Baseline Calculator, Critic Network
Iterations,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
89000,0.337157,0.305,11.1759,0.528987,7.53557,7.5464,3.34181,0.198907,0.264685,0.412559,
90000,0.337422,0.361,11.1749,0.891027,7.53523,7.54603,3.34008,0.309031,0.458131,0.69896,
91000,0.337363,0.332,11.174,0.411631,7.53485,7.54565,3.3387,0.147131,0.212832,0.320149,
92000,0.337457,0.346,11.1737,0.539846,7.53461,7.54544,3.33892,0.1464,0.278671,0.43857,
93000,0.337151,0.309,11.1733,0.495319,7.53458,7.54541,3.33771,0.156214,0.235562,0.406754,
94000,0.337085,0.331,11.1747,0.733444,7.53514,7.54607,3.33966,0.247456,0.378451,0.577477,
95000,0.337442,0.371,11.177,0.567278,7.53588,7.54695,3.34355,0.189573,0.277348,0.457105,
96000,0.337375,0.331,11.1772,0.618631,7.53582,7.54702,3.34433,0.227453,0.323106,0.475996,
97000,0.336845,0.286,11.1789,0.63701,7.53644,7.54778,3.34667,0.224312,0.305305,0.512108,
98000,0.336786,0.331,11.177,0.50541,7.53576,7.54709,3.34357,0.178726,0.241544,0.40639,
99000,0.336758,0.334,11.1768,1.06373,7.53563,7.54697,3.34355,0.361111,0.53281,0.846891,
100000,0.33681,0.342,11.1791,0.490674,7.53607,7.54761,3.34856,0.181444,0.242558,0.386011,
101000,0.336604,0.316,11.1796,0.703458,7.53624,7.54784,3.34958,0.229175,0.362833,0.557391,
102000,0.336275,0.303,11.1786,0.697101,7.53591,7.54748,3.34755,0.245285,0.339985,0.556951,
103000,0.336,0.308,11.177,0.567506,7.53551,7.547,3.34412,0.159138,0.260234,0.478557,
104000,0.336231,0.36,11.1765,0.631269,7.53545,7.54694,3.34302,0.249104,0.336131,0.472719,
105000,0.336333,0.347,11.1733,2.92254,7.53437,7.54567,3.33748,0.895312,1.4121,2.397,
106000,0.335943,0.295,11.1738,0.41937,7.53449,7.54589,3.3384,0.127674,0.187453,0.352749,
107000,0.33572,0.312,11.174,0.584728,7.53463,7.54606,3.33831,0.154149,0.287938,0.485012,
108000,0.335852,0.35,11.1734,0.892724,7.53443,7.54582,3.33726,0.353418,0.447786,0.686687,
109000,0.33555,0.303,11.1753,0.437691,7.53503,7.54661,3.3405,0.149903,0.216436,0.349654,
110000,0.335664,0.348,11.1779,1.45841,7.53586,7.54763,3.34497,0.570117,0.768542,1.10058,
111000,0.335784,0.349,11.1774,0.577218,7.53566,7.54751,3.34421,0.212514,0.297396,0.446737,
