Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.002

Baseline Calculator, Critic Network
Iterations,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
137000,0.337883,0.339,11.1571,0.492798,7.56379,7.49939,3.32087,0.163674,0.265551,0.381501,
138000,0.337768,0.322,11.1585,0.329185,7.56409,7.4998,3.32421,0.108621,0.166094,0.262635,
139000,0.33777,0.338,11.1575,4.39074,7.56381,7.49953,3.32198,1.35629,2.28205,3.49733,
140000,0.337857,0.35,11.1583,0.828228,7.56418,7.49992,3.32302,0.275112,0.434367,0.649308,
141000,0.338035,0.363,11.1606,2.71499,7.56489,7.50079,3.32713,0.886546,1.39338,2.15493,
142000,0.338239,0.367,11.1636,0.72291,7.56556,7.50175,3.33355,0.287931,0.393916,0.533408,
143000,0.338252,0.34,11.1626,0.567165,7.56514,7.50137,3.33185,0.224627,0.319107,0.411569,
144000,0.338243,0.337,11.1644,0.26895,7.5658,7.5021,3.33488,0.08707,0.137204,0.214308,
145000,0.33811,0.319,11.1654,2.82539,7.56608,7.50242,3.33667,0.979765,1.53961,2.15696,
146000,0.337979,0.319,11.1637,0.46242,7.56566,7.5019,3.33317,0.173,0.2422,0.353897,
147000,0.33815,0.363,11.1666,0.676925,7.56633,7.50278,3.33932,0.244284,0.360841,0.518022,
148000,0.338108,0.332,11.167,0.320536,7.56631,7.50279,3.34075,0.117838,0.162795,0.24971,
149000,0.337893,0.306,11.1666,0.63037,7.5661,7.50258,3.34029,0.261322,0.342211,0.460401,
150000,0.337787,0.322,11.1693,0.443701,7.56701,7.50369,3.34475,0.135878,0.222336,0.35913,
151000,0.338053,0.378,11.1697,0.587791,7.56714,7.50389,3.34543,0.211166,0.309745,0.452731,
152000,0.337842,0.306,11.1696,0.567212,7.56716,7.50404,3.34484,0.215861,0.306669,0.425543,
153000,0.337902,0.347,11.1706,0.758271,7.5672,7.5042,3.34774,0.231129,0.385633,0.610608,
154000,0.337844,0.329,11.1727,0.611595,7.56802,7.50511,3.35067,0.221245,0.31168,0.477445,
155000,0.342903,1.122,11.454,5.55889,7.61854,7.60677,3.91011,3.82575,3.11317,2.5638,
156000,0.342635,0.301,11.431,0.13037,7.61177,7.59725,3.87434,0.0632503,0.0609226,0.0963537,
157000,0.343,0.4,11.4231,0.600058,7.60925,7.5938,3.86279,0.189289,0.251864,0.51069,
158000,0.34312,0.362,11.4188,1.44256,7.60802,7.59208,3.85576,0.948532,0.867826,0.654328,
159000,0.343415,0.39,11.4149,0.939556,7.60743,7.59077,3.84803,0.271811,0.4146,0.798117,
160000,0.343219,0.312,11.4123,0.481479,7.60696,7.58991,3.84303,0.318146,0.286708,0.220008,
161000,0.343217,0.343,11.4149,0.78509,7.60796,7.59097,3.84647,0.364549,0.362277,0.593486,
162000,0.343346,0.364,11.4118,1.1348,7.60681,7.58959,3.84228,0.426872,0.483457,0.933715,
163000,0.343301,0.336,11.4173,2.18135,7.60811,7.59156,3.85223,1.45251,1.26298,1.02636,
164000,0.343274,0.339,11.4125,0.555355,7.60705,7.58999,3.84321,0.220971,0.255578,0.440761,
165000,0.343327,0.352,11.4096,1.02136,7.60615,7.5886,3.83903,0.654895,0.607274,0.49549,
166000,0.343108,0.307,11.4029,5.48253,7.60456,7.58617,3.82706,1.46707,2.37649,4.71786,
167000,0.34312,0.345,11.4075,0.916963,7.60601,7.58788,3.83454,0.370267,0.39258,0.741352,
168000,0.34303,0.328,11.4057,0.71953,7.60557,7.58711,3.83169,0.236093,0.306196,0.606818,
169000,0.343053,0.347,11.4175,0.686477,7.60926,7.59165,3.85021,0.207545,0.273681,0.594369,
170000,0.342912,0.319,11.424,6.31698,7.61074,7.59382,3.8625,2.62056,2.79006,5.02518,
171000,0.342789,0.322,11.4157,0.60362,7.60831,7.59066,3.84875,0.390256,0.361058,0.285822,
172000,0.342605,0.311,11.4094,0.95467,7.6074,7.58859,3.83597,0.428346,0.457872,0.719909,
173000,0.34237,0.302,11.4171,0.183848,7.60964,7.59149,3.84861,0.125287,0.110194,0.0772056,
174000,0.342402,0.348,11.4242,0.57837,7.61204,7.59447,3.85909,0.417698,0.313879,0.248033,
175000,0.342463,0.353,11.4218,1.56827,7.61176,7.59379,3.85382,1.07973,0.903159,0.691343,
