Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.002

Iterations,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
204000,0.337642,0.344,11.2472,0.559122,7.58715,7.55674,3.43952,0.155838,0.288697,0.452754,
205000,0.337688,0.347,11.2468,0.600914,7.58713,7.55658,3.43878,0.248811,0.315987,0.446479,
206000,0.337782,0.357,11.2486,0.616262,7.58775,7.55729,3.44155,0.212289,0.303027,0.492836,
207000,0.337773,0.336,11.2544,0.543413,7.58959,7.55968,3.45118,0.175867,0.250445,0.44905,
208000,0.337817,0.347,11.2564,1.13568,7.59023,7.56042,3.45464,0.360047,0.542094,0.930738,
209000,0.337622,0.297,11.2589,0.571871,7.59104,7.56139,3.45887,0.171999,0.245716,0.486905,
210000,0.337771,0.369,11.262,0.55007,7.59182,7.56238,3.46507,0.190788,0.251338,0.450562,
211000,0.337682,0.319,11.2638,1.25745,7.59245,7.56314,3.46788,0.42453,0.615931,1.01073,
212000,0.337684,0.338,11.2633,0.695521,7.59214,7.5629,3.4676,0.258208,0.3727,0.52742,
213000,0.337648,0.33,11.2629,0.677912,7.59207,7.56266,3.46688,0.267879,0.332691,0.526425,
214000,0.337654,0.339,11.265,0.661284,7.59259,7.56338,3.47118,0.212628,0.289904,0.555015,
215000,0.337619,0.33,11.263,0.645921,7.59177,7.56249,3.46825,0.270713,0.329571,0.485089,
216000,0.337616,0.337,11.2637,0.701977,7.59202,7.56277,3.46936,0.22687,0.331493,0.575685,
217000,0.337645,0.344,11.2642,0.675717,7.592,7.56282,3.47097,0.234283,0.317446,0.548574,
218000,0.337734,0.357,11.2637,0.729611,7.59197,7.56272,3.46952,0.281705,0.374441,0.559257,
219000,0.337826,0.358,11.2557,0.712461,7.58933,7.55938,3.4566,0.238591,0.355072,0.569736,
220000,0.3379,0.354,11.253,0.541637,7.58839,7.55828,3.45246,0.177736,0.262321,0.439282,
221000,0.337928,0.344,11.2561,8.20462,7.58941,7.55947,3.45753,2.94685,3.86734,6.60874,
222000,0.337928,0.338,11.2629,0.718351,7.59149,7.56212,3.46922,0.288951,0.36799,0.545087,
